doc_id,discipline,text
1,computer science,"The grades are based on a percentage system, and the specific composition is as follows:
1) 6 case practical assessment will account for 40 points;
2) Learning Pass sign-in and attendance account for 15 points;
3) The viewing of learning videos in the Learning Pass will account for 10 points;
4) The chapter quiz in the Learning Pass accounts for 5 points;
5) Participation in the Learning Pass through classroom activities accounts for 15 points;
6) The online exam in the Learning Pass will account for 15 points."
2,engineering,"2. Professional skills courses: The assessment of professional skills courses adopts a learning assessment mode that combines online learning with classroom participation, practical training assessment and theoretical examination, and formative assessment and summative assessment. Online learning accounts for 30%, mainly including: online check-in, online course learning, and online discussion and interaction; classroom participation accounts for 20%, mainly including: classroom attendance, in-class Q&A, and homework; practical training assessment accounts for 30%, mainly including: skill assessment; theoretical examination accounts for 20%; formative assessment consists of attendance, homework (experimental report), classroom participation (including online test), formative assessment (including skills), etc. In principle, it does not exceed 50% of the total score (Among them, attendance does not exceed 10% of the total score); the summative assessment consists of theory examination, skill assessment, project demonstration and defense, and in principle, it does not exceed 60% of the total score."
3,engineering,"The form of assessment can be based on the characteristics of the course study, using diversified assessment methods such as the combination of process assessment and summative assessment, and the combination of student assessment and teacher assessment, focusing on process assessment, so as to make the assessment more comprehensive, more scientific, and more comprehensive. Can fully mobilize the enthusiasm of students to learn.
1. usual performance 10% (attendance, attention to lectures, questioning in class)
2. process assessment 40% (homework, project task completion)
3. comprehensive assessment 40% (theory and skill assessment)"
4,engineering,"The assessment of this course adopts the combination of formative assessment and summative assessment, formative assessment accounts for 60% (of which online learning assessment accounts for 20% of formative assessment); summative assessment accounts for 40%, mainly offline final test."
5,computer science,"Since the goal of the course is to cultivate students who have practical ability and adapt to the needs of occupational positions, the organization of the teaching process always revolves around the teaching goals of this course from beginning to end, and puts computer-based practice in the first place, that is, the actual practice section will run through the course. Based on this feature of the teaching process, the assessment of this course is mainly based on the practical ability of the students, which is divided into three parts, usual performance (20%) + theoretical knowledge (30%) + practical skills (50%).
1. Theoretical knowledge: Test scores = Unit quiz 10% + Final test 20% 
2. Practical skill = In-class exercise (Students' instant mastery and ability to apply what they have learned in the classroom) 10% + Comprehensive practical training [(The training process (focusing on the ability of students to write and debug programs according to the requirements of the training tasks) 20% + The training process (focusing on the students' ability to analyze and solve problems, logical thinking and innovation, and teamwork) 10% + Training report (quality)] 10%
3. Usual performance = Attendance (Class attendance) 5% + Questioning (Classroom performance ) 10% + homework completion 5%"
6,computer science,"The assessment of this course is based on a combination of process assessment and summative assessment, with 60% of the process assessment and 40% of the summative assessment."
7,computer science,"The assessment of this course is based on a combination of process assessment and summative assessment, with 60% of the process assessment and 40% of the summative assessment."
8,computer science,"This course uses a combination of process assessment and summative assessment. The process assessment accounts for 60% of the total score and the final assessment accounts for 40% of the total score. It focuses on process and learning input, emphasizes the weight of participation assessment, and promotes autonomy and collaborative learning."
9,computer science,"This course uses a combination of process assessment and summative assessment, with process assessment accounting for 60% of the total grade and summative assessment accounting for 40% of the total score."
10,computer science,"This course uses a combination of process assessment and summative assessment. The process assessment accounts for 60% of the total grade, and the final assessment accounts for 40% of the total score. It focuses on process and learning input, emphasizes the weight of participation in assessment, and promotes autonomy with collaborative learning."
11,computer science,"This course uses a combination of process assessment and summative assessment. The process assessment accounts for 60% of the total score and the final assessment accounts for 40% of the total score. It focuses on process and learning input, emphasizes the weight of participation in assessment, and promotes autonomy and collaborative learning."
12,computer science,Process Assessment 60% + Summative Assessment 40%
13,computer science,"Pay attention to the diversity of assessment, in-class answering questions, student assignments, quizzes, project assessment, and skill target assessment as the usual grades account for 30% of the total grades; students’ attendance scores, account for 10% of the total grades; practical operations are the final grades, account for 60% of the total grades. It is recommended that students take the Fujian Provincial Computer Rank Examination (Level B), and take the rank exam as a reference for final exam results."
14,computer science,"Based on the core literacy of the subject, the academic level assessment is carried out, and the multi-dimensional assessment is carried out from the perspective of knowledge, skills and literacy by the combination of teacher assessment, peer assessment and self-assessment.
(1) Process assessment accounts for 50%, including grades of attendance, homework, classroom performance, unit tests, and group tasks.
(2) Summative assessment accounts for 50% and is conducted in a closed-book format to test students' mastery of language knowledge and comprehensive language application ability."
15,computer science,"Based on the core literacy of the subject, the academic level assessment is carried out, and the multi-dimensional assessment is carried out from the perspective of knowledge, skills and literacy by the assessment methods of teacher assessment, peer assessment and self-assessment.
(1) Process assessment accounts for 50%, including grades of attendance, homework, classroom performance, unit tests, and group tasks.
(2) Summative assessment accounts for 50% and is conducted in a closed-book format to test students' mastery of language knowledge and comprehensive language application ability."
16,computer science,"Since the goal of the course is to cultivate students who have practical ability and adapt to the needs of occupational positions, the organization of the teaching process always revolves around the teaching goals of this course from beginning to end, and puts computer-based practice in the first place, that is, the actual practice section will run through the course. Based on this feature of the teaching process, the assessment of this course is mainly based on the practical ability of the students, which is divided into three parts, usual performance (20%) + theoretical knowledge (30%) + practical skills (50%).
1. Theoretical knowledge: Test scores = Unit quiz 10% + Final test 20% 
2. Practical skill = In-class exercise (Students' instant mastery and ability to apply what they have learned in the classroom) 10% + Comprehensive practical training [(The training process (focusing on the ability of students to write and debug programs according to the requirements of the training tasks) 20% + The training process (focusing on the students' ability to analyze and solve problems, logical thinking and innovation, and teamwork) 10% + Training report (quality)] 10%
3. Usual performance = Attendance (Class attendance) 5% + Questioning (Classroom performance ) 10% + homework completion 5%"
17,computer science,"Focus on the assessment of students' mastery of javaScript programming ability, and evaluate students' daily performance, practical application development results and final inspection (try to take the form of computer-based examination).
This course recommends the use of computer-based examinations. The overall computer-based test scores account for 30%, the homework scores (usual skills scores) account for 50%, and the usual scores (including attendance, assignment completion, etc.) account for 10%."
18,computer science,"A combination of process assessment, quantitative assessment and multi-subject assessment is adopted. Process assessment assesses the homework completed by each student in a semester, as well as the learning attitude and performance in the whole course teaching. Adopt the method of ""assessment by form"", formulate ""quantitative assessment"" indicators, convert subjective scores into objective scores, and make the assessment fairer. At the same time, a multiple assessment method combining ""student self-assessment, student peer assessment, and teacher assessment"" is adopted. Various assessment such as process assessment, quantitative assessment, and multi-subject assessment all account for a certain proportion, such as 5:3:2 course assessment."
